name	orig_len	lead_N	trail_N	provirus_len	prov_start	prov_end	status
m64407e_230623_212655/138151791/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/138215437/ccs/0	6040	5	7	6028	6	6033	kept
m64407e_230623_212655/142607394/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/144835823/ccs/1	6037	6	6	6025	7	6031	kept
m64407e_230623_212655/147786274/ccs/1	6075	6	6	6063	7	6069	kept
m64407e_230623_212655/150208837/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/153355136/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/156370983/ccs/1	1816	0	6	1810	1	1810	kept
m64407e_230623_212655/157024955/ccs/0	6039	5	7	6027	6	6032	kept
m64407e_230623_212655/159975148/ccs/rev/0	6054	5	5	6044	6	6049	kept
m64407e_230623_212655/160500297/ccs/1	6039	6	6	6027	7	6033	kept
m64407e_230623_212655/165021918/ccs/0	6042	5	7	6030	6	6035	kept
m64407e_230623_212655/167313637/ccs/1	6040	6	6	6028	7	6034	kept
m64407e_230623_212655/171705121/ccs/0	6039	5	7	6027	6	6032	kept
